gene_identifier,n_cells
Larp6,61
Mycn,47
Dock2,56
Rhoq,62
Nek3,44
Ero1l,51
Nefm,62
Plagl1,52
Kif9,48
Tert,64
Bhmt2,49
Nek7,60
S100b,68
Scnn1a,45
Faxc,63
Crtap,58
Tbc1d8b,59
Fhl1,59
Pepd,64
Lrrc43,59
Hnrnpm,68
Clip1,62
Ppara,53
Lrrc15,50
Arhgdia,65
Wbscr17,57
Rnpep,67
Frrs1,64
Serinc5,54
Fam120a,69
Stip1,68
Rab11fip5,64
Lgsn,57
Aox1,38
N4bp3,56
Rassf2,63
Rec8,52
Thsd7a,46
Cxcr4,49
Sh2d2a,60
Wdr93,58
Gltp,46
Ankrd33,50
Myo16,56
Adam23,63
Slc39a13,63
Amph,67
Fh1,70
Dcaf11,62
Slc46a2,53
Itga3,51
Ubash3b,57
Slc46a3,55
Mfn1,65
Erbb4,56
Prmt5,63
Plxna3,58
Glud1,70
Srxn1,63
Srpx,48
Zmym5,60
Fbxl17,60
Top2b,48
Adprh,70
Map2k6,63
D930020b18rik,55
Cacna1h,59
Dhodh,55
Gpnmb,42
Zfp663,44
Prps2,55
Nxf3,50
Gpatch2l,62
Arhgef9,56
Letm2,43
Efhb,56
Fuca1,61
Ctnnal1,43
Cybrd1,54
Cdkl4,54
Tacc1,65
Alkbh5,67
Timd4,62
Lrfn2,63
Mmd2,67
Tmem229b,68
Mmp24,61
Csk,59
Rfx5,55
Fmo3,58
Asap2,64
Thtpa,64
Pip5kl1,57
Kbtbd8,56
P2rx1,60
Cd163l1,56
Grb7,53
Sil1,65
Sntb1,58
Tctn1,66
Slc29a2,60
Lypd6,60
Phactr2,53
Ppfia3,68
Usb1,59
Dcaf15,46
Rpa2,57
Dcc,62
Kcnq2,65
Cttn,65
Col1a1,48
Smpdl3b,57
Efcab2,57
Pcsk5,50
Ing3,60
Lime1,59
Hs3st4,65
Gm2176,47
Rbm27,61
Zfp512,64
Kctd15,60
Xrcc2,48
Depdc5,60
Mgme1,55
Slc36a3,60
Deaf1,66
Atl3,52
Eif3l,70
Cercam,50
Cops7b,60
Clvs2,60
Rbmx2,56
Ttll2,51
Slc13a5,55
Kitl,49
Six1,67
Vps13c,65
Hrh2,64
Ganc,55
Pcnx,64
Extl2,57
Nudt16,61
Krt80,58
Ppfia4,66
Cald1,52
Nfkb2,61
Pga5,51
Aldh8a1,47
Adcy5,64
Vwa8,65
Lyrm9,64
Angptl1,53
Ano10,59
Abca15,49
Myh13,53
Npas2,61
Gde1,70
Ptprv,54
Ctif,67
Lrig1,68
Manba,51
Gpr75,64
Brwd3,48
Sh3rf1,65
Ankrd16,43
Ankrd13b,66
Setd6,57
Igfbp6,63
Sox3,60
Col4a1,65
Ddx54,60
Tusc5,55
Trmt13,56
Mdfic,49
Toe1,60
Cul4a,65
Mocs3,65
Spice1,61
Cyld,51
Ace2,43
Inhbe,52
Cdh20,64
Efr3b,63
Tgoln1,49
Calcoco1,68
Ubqlnl,60
Ptgr2,62
Olfml1,50
Cldn11,58
Tmem108,50
Fbxo25,67
Spcs3,52
Fgfr2,62
Adra1d,56
Shisa9,62
Nle1,60
Sh3gl1,68
Rspo1,53
Adam3,56
Rhbdd1,56
Smchd1,50
Myo1d,60
Slc25a19,62
Lrrk2,58
Fn1,65
Tmem198,65
Peli2,54
Agpat5,61
Casc4,53
Prf1,57
Man1b1,66
Sppl2a,61
Crlf3,52
Tmem110,62
Kank3,61
Rimkla,49
Ggt1,35
Fgf14,60
Arih1,46
Helq,62
Sf1,59
Ar,55
Fsd2,55
Ecd,57
Grxcr2,50
Taok3,57
Mpp3,63
Kcne4,48
Zbtb41,63
Fer1l5,62
Mmel1,55
Tmem82,66
Zbtb1,54
Spdef,37
Pou3f2,46
Atxn1,63
Tmprss3,62
Lgals12,51
Trpc5,43
Gpr153,62
Grb2,65
Nkx3.1,44
Abl1,64
Tcf19,65
Sugp2,64
Car10,66
Gpat2,61
Tnn,51
Apeh,58
Slc6a6,63
Hdac4,59
Cish,49
Rock1,62
Rundc3a,69
Slc22a20,51
Chga,68
Phip,55
Lcat,63
Noto,54
Th,50
Slitrk3,60
Kcnq3,66
Kcnc4,66
Atp2b4,62
Mfap3,57
Leng9,60
Noc2l,65
Bnip2,59
Etv6,62
Mroh2a,57
Ubr1,59
Tigd2,57
Pax3,59
Nek2,55
Prss23,58
Cdc42se1,64
Arhgap5,59
Gja3,52
Tmprss2,59
Ibtk,57
Gnl2,65
Lingo3,63
Nedd1,65
Map3k1,57
Sh3glb2,69
Pianp,64
Srms,52
Ccdc166,43
Grhl1,47
Arhgef33,65
Evi5,63
Ythdf3,58
Acoxl,51
Chid1,57
Cadps,68
Dnajb2,68
Zfp623,58
Reep6,62
Zfp286,65
Nkx2.1,58
Aqr,58
Oprk1,60
Zfp800,56
Ago1,52
Hacl1,41
Nhlrc1,57
Wdr3,51
Fras1,57
Lypd1,51
Serpina3j,47
Caprin2,49
Tdrp,62
Pacsin3,67
Paqr9,68
B3galnt2,55
Mpz,56
Blcap,66
Fnip1,58
Cdk7,48
Tfap2e,55
Mb21d1,58
Cd3eap,59
Cdh16,57
Prep,65
Asic3,50
Pitpnm1,68
Ift80,56
Slmap,59
Kcnn3,59
Pkdcc,51
Ficd,63
Col4a2,68
Hook3,60
Epha7,65
Usp3,47
Cacna2d2,55
Ube2j2,55
Haus6,53
Glce,60
F2r,58
Pkd2l1,56
Ctnnbip1,67
Kcnk13,60
Bmp7,60
Rint1,62
Med28,61
Xkr6,63
Ttc8,52
Gm11545,56
Fbxo24,51
Marco,40
Ntrk3,65
Dgki,62
Nr3c2,64
Ccp110,62
Tbc1d13,64
Arhgef16,57
Mapre3,69
Map7,63
Ptpn13,63
Dstyk,58
Dio3,43
Ace,55
Wisp1,57
Eif3d,67
Pik3cd,59
Asb14,67
B930018h19rik,54
Map3k8,60
Ubxn6,70
Ubxn7,59
Cxxc4,61
Frmd4b,57
Creb3l1,56
Lama1,47
Aifm3,62
Spesp1,42
Pdcd11,63
Zfp592,60
X4933424g05rik,59
Podn,52
Dhrs3,60
Igfbp4,66
Dcstamp,55
Sms,58
Asxl1,65
Gys1,62
Dcaf7,67
Lrrc8e,57
Tex261,59
Lcor,67
Smad2,52
Mtfr1,58
Sdccag8,64
Serping1,61
Pnlip,64
Mrap2,61
Ap1m1,64
Ptpn14,57
Fktn,63
Lhfpl2,54
Kctd9,53
Ube4b,66
Mreg,49
Mlxip,65
Nsun2,58
Lipc,57
Ucp2,55
Acat1,64
Prpsap1,63
Acss2,65
E430016f16rik,56
Paf1,62
Gpr155,60
Sim2,61
St6galnac1,53
Ankrd54,60
Egln1,68
Armc9,61
Scrn1,68
Cdan1,61
Socs5,66
Irx3,62
Tnfsf18,62
Slc12a8,59
Ldlrap1,57
Ccdc116,63
Spata2,65
Fbxo8,61
Sel1l,67
Gabpb2,51
Mei1,62
Myo1f,50
Onecut2,54
Tbcel,55
Psen2,65
Prkd1,47
Ints9,63
Rhobtb3,56
Clrn1,48
Rad54l,54
Rpp40,57
Spata5,46
Krt15,55
Stx8,60
Sec22c,52
Tmprss7,60
Pin1,63
Tiam2,63
Fto,67
Nrg4,57
Ppp1r18,55
Anln,52
Myh9,68
Phactr4,55
Ptbp1,64
Zbtb22,61
Mdp1,64
Parp8,48
Fam131b,67
Rbpms2,52
Grik5,70
Pycard,59
Secisbp2,68
Zbtb39,59
Myh11,65
Pik3ip1,65
Tnfsf13b,64
Tmem143,62
Bmf,61
Jph1,61
Fmnl3,61
Mlc1,69
Klkb1,63
Ruvbl2,68
Nos1,50
Lingo2,62
Pdzd7,62
Tbl1x,66
Fam161b,61
Dnase2b,50
Nxf1,62
Slc15a3,51
Avil,45
Sh3bp5,60
Rab11fip1,61
Slc9a6,41
Trim72,66
Mctp2,54
Ccdc14,50
Usp11,66
Adam2,43
Ap3m2,62
Scarb1,63
St6galnac5,66
Wnt3,61
Sod3,58
Lpcat4,65
Dpp6,63
Fbxl13,50
Dhx36,64
Ptpdc1,63
Irs4,53
Bcl9l,68
Best1,54
Zcchc12,50
Edem2,65
Prlhr,57
Acsm1,56
Abcf2,68
Atg4a,57
Adck2,61
Lrrc46,47
Fxr1,65
Dlx1,57
Cilp,57
Arhgef10l,65
Ttc17,61
Suds3,63
Cd83,58
Ddx23,68
Elf1,45
St5,65
Trpm1,56
Lhfpl4,67
Me3,62
Stat1,47
Tmem98,53
Apex2,66
Rps6ka1,64
Ints4,57
Kcnk5,50
Ildr2,64
Iffo1,68
Slc4a11,54
Tnxb,55
Slc6a3,50
Sorcs1,62
Isg20l2,59
Cxxc5,69
Lmnb2,64
Bclaf1,62
Zfyve1,63
Sh3rf2,60
Szrd1,57
Nedd4l,47
Gdf11,51
Ppm1l,66
Tpd52,58
Txnrd3,56
Maoa,59
Loxhd1,44
Ppif,60
Mss51,52
Gtf2ird1,62
Chrnb3,57
Lss,57
Tada3,63
Ddx27,68
Cdk12,64
Lrrc59,65
Zfp212,59
Poldip3,68
Med17,54
Lrp1,69
Tomm40l,61
Irak4,53
Mbd1,64
Prkrip1,64
Tmie,65
Mill1,52
Slc17a2,56
Prcc,65
Rnf144a,59
Etfdh,55
Mapk8ip2,68
Wnt2,53
Wdr48,49
Arhgap26,64
Adam18,50
Madcam1,57
Lin28a,51
Rfxank,62
Zmym2,48
Snd1,69
Tspan10,55
Plcg2,58
Idh2,63
Mier2,61
Rad9a,50
Tspan11,53
Rif1,58
Kcnj9,60
Dvl1,66
Plcd4,59
Lrrc41,63
Zfp36l3,43
Mocs1,58
Nipa2,41
Rtel1,53
Hcn4,37
Rere,68
Med12,55
Hdac11,68
Rsbn1,51
Dcaf6,68
Samhd1,62
Fdxr,58
Ppip5k2,63
Fgfr3,65
Bag5,68
Enpp4,61
Zfp46,56
Xkr4,57
Utp20,64
Pdcd1lg2,48
Dysf,50
Sgk3,59
Pak1ip1,64
Slc25a34,52
Mfsd12,57
Cacng2,62
Zfp385c,55
Notum,62
Bcat1,51
Plcb2,58
Pcsk6,64
Rab17,56
Arg2,58
Tor4a,57
Zfp202,59
Npepps,64
Tet2,53
Casr,55
Cdh3,57
Cul5,58
Ctnna2,68
Ptpn22,58
Ndst1,65
Gjb1,50
Mgat4a,63
Slc27a1,65
Dhx37,61
Gosr2,66
Inpp5k,62
Paxip1,62
Vrtn,51
Nop9,60
Actr8,66
Bbs2,55
Itga9,48
Nlrp4b,43
Zfp750,62
Fam109a,61
Lta4h,64
Dnah5,56
Fbxo31,65
Hs6st1,66
Spry1,59
Npat,62
Suv39h2,48
Myf5,44
Gna11,64
Crcp,63
Cyp26b1,62
Adcy1,68
Ndst3,44
Mrpl11,57
Sipa1,57
Cacnb2,47
Impg1,65
Galnt14,52
Blmh,64
Tcf7l2,53
Tmem38a,65
Dpp4,57
Sapcd2,44
Bace1,63
Mpeg1,50
Acvrl1,61
Lax1,50
Foxa1,55
Pou4f2,64
Gm1966,50
Gramd3,61
Inppl1,62
Ssh1,55
Lrrtm2,51
Foxj3,63
Anapc11,66
Cpped1,66
Cyp27a1,49
Gucy1b2,52
Gtse1,44
Ccdc73,47
Atp13a2,69
Myom2,52
Flna,53
Adra2c,54
Zfp697,53
X4930442l01rik,61
Map4k2,60
Slc38a1,61
Frmd8,64
Bcl2l13,48
Slc9b2,60
Smad6,55
Hs3st2,61
Rab3gap1,53
Crebrf,62
Fcgbp,44
Col8a2,56
Htr2a,60
Sox2ot,60
Tmem178,66
Tor1b,54
Apobec4,56
Gpr35,63
Oxgr1,48
Slc39a9,61
Nkiras1,60
Senp5,63
Crtc1,65
Slc20a2,57
Dpf2,67
Slc35d3,61
Prkaa2,48
Dpys,44
X4930511e03rik,40
Smc1a,66
Tapbpl,53
Add2,69
Fndc8,58
Plekhb1,70
Ago3,62
Lmod2,58
Ikbkap,63
Snx14,57
Ebp,44
Hadh,59
Actl7a,47
Nhsl2,65
Ikbkb,61
Ccr7,54
Gpr88,61
Bmpr1a,58
Mast1,68
Glis1,68
Kdelc1,53
Cdh7,58
Mtmr6,63
Mkx,61
Lyve1,54
Rprd1a,60
Agk,69
Tnpo3,60
Ms4a15,59
Xpnpep1,68
Gcnt2,58
Sh2d3c,65
Stx7,63
Rnf139,55
L3mbtl1,65
Gata1,52
Adcy8,63
Uevld,63
Pde12,51
Hip1r,65
Slc16a5,42
Wnt5b,49
Sema4d,69
Gm11992,58
Pgap3,61
Scd4,49
Wdtc1,68
Carm1,67
Setmar,55
Slc6a2,45
Fam212b,54
Slc38a9,53
Ptdss1,65
Pms2,57
Slc25a28,54
Baz2b,58
Atp5sl,67
Ireb2,62
Fhad1,60
Slc23a1,45
Myo1a,53
Ets2,63
Fam105a,53
Lmbr1l,62
Fbxo43,50
Zmynd15,54
Wdr59,58
Ddx41,61
Tapbp,53
Btg1,58
Galr2,56
Xirp2,63
Tnfrsf1a,55
Egf,56
Shc2,58
Arl13b,55
C2cd2,56
Fbxl19,66
Paip1,58
Dhx32,62
Zhx3,69
Elmod2,43
Wdr19,57
Hmgcll1,55
Col11a2,57
Cdk8,61
Pdzd8,52
Trim47,53
Gpr179,48
Usp12,63
Irf4,60
Yme1l1,62
Amer3,64
Swap70,60
Asxl3,57
B4galt3,65
Tktl2,66
Heatr6,62
Myo5c,61
Shisa6,56
Naa40,63
Slco1b2,41
Pde3a,48
Smad1,62
Zfp324,54
Mettl17,49
Wdr89,61
U2af2,68
Foxc1,61
Amigo2,58
Slc35f3,60
Fam149a,54
Cpd,63
Nsmaf,59
Mfsd8,53
Dntt,53
Rnf219,55
Tmco1,62
Gnb3,61
Rap1gap2,68
Glb1,52
Mrgpre,66
Plrg1,67
Slc35f6,63
Kcng3,53
Prkaca,71
Tfap2a,39
Tgfbr3,61
Adcy3,62
U2surp,51
Ift172,61
Cntnap4,56
Fgf23,50
Pdk2,70
Dnali1,63
Dip2b,65
Snapc2,64
Fyn,69
Rgsl1,40
Tvp23a,66
Qrich2,40
Pak6,64
Zfp384,61
Rom1,57
Gramd1c,57
Pask,58
Donson,53
Prom2,59
Efcab6,48
Klhdc7a,60
Uggt1,61
Fam172a,43
Kcne1,50
Hrnr,54
Spdl1,61
Lrfn3,62
Ercc5,62
Gpr162,68
Slc16a9,60
Micall1,62
Aptx,62
Cldn15,56
Kcnh7,61
Kcnk6,48
Zfp423,66
Chmp7,65
Phf21a,53
Igsf11,68
Dyrk2,67
Unc5d,61
Ctnnd2,70
Cpm,59
Il4ra,54
Topaz1,50
Ctnna3,61
Bahd1,67
Mcrs1,56
Uaca,63
Htr5a,60
Ankrd45,47
Pibf1,58
Eif4h,67
Sh3tc1,50
Gnl3l,65
Lrp1b,63
Tshz3,69
Oma1,63
Tub,67
Tmem179,61
Polr1b,58
Efr3a,55
Sh3d21,43
Zzz3,56
Slc22a8,61
Tubgcp4,58
Zfp526,58
Cd5,49
Lrrn4,60
P4ha3,49
Neu1,55
Eef1d,66
Rab3il1,45
Ankrd13a,60
Preb,53
Kctd2,68
Lrrn4cl,47
Mcc,58
Ncbp1,59
Fam171a2,67
Exd2,58
Samd8,51
Abca4,54
Lrrc45,60
Lsm11,61
Pax8,60
Ptpn11,66
Gal3st1,59
Col3a1,33
Snx8,60
Mad1l1,67
Galnt16,64
Fam184a,66
Myo1e,63
Rasgrf2,62
Arhgef12,65
Coq4,64
Gk2,56
Cdc37,70
Arhgef37,49
Tfcp2,64
Prkag2,65
Zfp760,47
Vat1l,51
Helt,54
Col28a1,44
Kdr,44
Mbd6,64
Syt13,68
Pdha2,58
Olfm2,67
Rassf10,54
Pax9,53
Rnf215,62
Cbll1,45
Samd5,64
Myo19,50
Ttc29,51
Atp1b2,70
Phex,43
Fam189a2,54
Esco1,66
Cldn12,57
Rcan1,64
Nrip1,63
Ctla4,53
Ccnd1,61
Mmp28,54
Galnt11,67
Emilin2,62
Tubgcp6,57
Nfkbie,58
B4galnt3,64
Brd8,56
Stim2,52
Ppp1r3g,62
Trmt10b,50
Ptpn1,56
Jakmip3,61
Chp1,55
Ltbp1,61
Fmo2,39
Mfsd5,61
Sp3,59
Bdh1,62
Mas1,45
Tspan1,57
Pter,59
Ogdh,68
Sfrp2,54
Pde8a,59
Vwa1,56
Itga8,53
Umodl1,64
Lfng,57
Acadsb,56
Cdkn1b,70
Ebf3,42
Setd5,65
Mtrr,55
Agfg2,62
Spata31d1a,48
Piwil4,55
Tbl2,60
Lrrc61,58
Hs2st1,57
Iqce,58
Zc3h12a,51
Dnttip2,65
Fam53a,59
Irx5,62
Gm21284,58
Usp16,58
Pex14,67
Josd1,60
Snx27,63
Rtn4rl1,63
Rbm20,51
Tarbp2,59
Pwwp2b,59
Syna,47
Slc25a46,58
Rictor,60
Cdc42bpa,66
Actl10,50
Gtpbp2,63
Wwp1,58
Zfp648,59
Podxl,54
Evc2,51
Pcca,57
L3mbtl2,66
Rb1,50
Ccdc181,57
Btrc,62
Smarcc1,58
Aldh1b1,64
Sdc1,56
Insm1,56
Cxcl9,34
Trim62,65
Shroom2,59
Kcna2,68
Dis3,49
Rab10,59
Mon1b,65
Arf2,65
Arf6,61
Tbl3,63
Ccdc155,63
Pla2g3,47
Zfp11,53
Ldlr,64
Atf5,66
Tmem47,52
Slc38a5,58
Slain2,60
Tmem65,53
Ino80d,52
Mapk6,65
Mrpl35,64
Dusp28,56
Nek11,63
Pag1,62
Plekhg5,66
Tut1,59
Rfwd2,60
Klhl22,63
Gpatch11,61
Serinc2,53
Ehd2,45
Ccdc126,59
Cad,59
Selp,57
Pappa,58
Npsr1,56
Zfp790,63
Kl,50
Gprc5a,49
Dgcr8,63
Gpr161,64
Fzr1,61
Kcna10,60
Pola2,60
Slc9a3r2,63
Zfp865,63
Crocc,61
Cep57,59
Fastkd3,50
Clcnkb,47
Tmem248,62
Fndc9,57
Katnal1,61
Rhbdf1,60
Taf1a,62
Zfp579,63
Slc18b1,53
Rlf,58
Clcnka,56
Midn,70
Dgkd,65
Apln,68
Gatad2b,66
Zfp362,68
Btaf1,55
Rai14,60
Anks4b,44
Jak2,48
Zfp474,54
Jrk,53
Plxdc2,52
Igdcc4,63
Adora1,69
Rftn2,62
Hs1bp3,64
Opcml,66
Plcd1,53
Tln2,62
Ppp4r4,65
Ccng1,61
Nceh1,66
Zfp94,58
Sirt1,48
Tmem184b,67
Gga1,61
G6pdx,62
Abcc4,51
Foxd4,51
Nlrp3,62
Cyfip1,61
Kcnc3,67
Mthfd2,56
Map3k9,65
Bsn,66
Irf6,58
Capn9,46
Chrna10,58
Twf1,54
Krt20,57
Itpripl2,64
Lgalsl,58
Zcchc8,56
Pclo,65
Osbpl10,66
Stac,50
Tpra1,61
Srgap1,42
Npr3,56
Supv3l1,65
Srsf1,65
Tnfrsf21,69
Spen,66
Prss50,46
Slc5a1,44
Cacul1,52
Zic2,60
Spatc1,52
Rassf7,51
Fnbp1l,62
Faim2,65
Csnk2a1,60
Fam13b,65
Aldh6a1,61
Ccdc171,61
Kcns2,45
Cramp1l,63
Plekhg2,63
Ncald,68
Ngly1,51
Mga,56
Lox,54
Birc7,50
Fut8,61
Rtn4ip1,58
Pgrmc2,65
Vash2,53
Igbp1,63
Ahctf1,58
Dgat2,65
Fam122b,52
Piezo2,58
Ptpro,57
Mc3r,57
Otoa,54
Cdca8,52
Cd200,69
Zswim3,45
Hmgxb3,60
Mypop,67
Cntn5,56
Cops4,62
Irx4,65
Chat,58
Rilpl2,59
Prtg,58
Ppp1r21,63
Zfp819,47
Shroom3,59
Nyap2,66
Stac2,62
Wwox,56
Rccd1,56
Tmem204,61
Clic4,67
Gpank1,64
Atf7ip,66
Hhla1,56
Dnmt3a,63
Ints5,64
Cstf1,56
Vasn,62
Prox2,56
Kcna6,59
Snx4,60
Rasl11b,67
Cmya5,59
Gnptab,63
Esr2,41
Mybbp1a,53
Atp2b3,65
Pfpl,52
Vps39,68
Dcaf8,66
Abcd3,62
Osbpl7,63
Tdrd6,38
Cybb,49
Mpzl2,44
Plekha8,51
Loxl3,62
Ebf2,44
Acacb,57
Eme2,64
Acox3,43
Impa1,51
